"AOU","Genus","Species","BBS_dist","BBS_dist_error","Migration","Mig_distance","Flocks","Male_mass_g","Trend","Relative.Abundance","BBS_species","BBS_Tree_species","Habitat_specialism_score","Diet_specialism_score","Diet.5Cat","GenFLS","Order","SE"
6170,"Stelgidopteryx","serripennis",7336.4243386805,643.717077369162,"Partial","short","Yes",565,-0.22,1.76,"Stelgidopteryx serripennis","Stelgidopteryx_serripennis",70,100,"Invertebrate",2.026909388,"PASSERIFORMES",643.717077369162
7260,"Certhia","americana",7742.13282877412,1630.69266483356,"Partial","short","Yes",153,0.34,0.33,"Certhia americana","Certhia_americana",30,70,"Invertebrate",1.664175519,"PASSERIFORMES",1630.69266483356
7190,"Thryomanes","bewickii",1188.18243684297,5256.53587188245,"Partial","short","No",9.9,-0.42,3.62,"Thryomanes bewickii","Thryomanes_bewickii",50,80,"Invertebrate",1.783557758,"PASSERIFORMES",5256.53587188245
7080,"Toxostoma","bendirei",2899.25951664139,6245.51318818837,"Partial","long","Yes",222,-2.75,0.28,"Toxostoma bendirei","Toxostoma_bendirei",100,50,"Omnivore",2.536164707,"PASSERIFORMES",6245.51318818837
7050,"Toxostoma","rufum",3267.75817146382,117.697403715869,"Partial","long","Yes",1147,-0.88,2.72,"Toxostoma rufum","Toxostoma_rufum",80,50,"Omnivore",2.680916959,"PASSERIFORMES",117.697403715869
7540,"Myadestes","townsendi",4071.03493492679,1764.44571208211,"Partial","short","No",32.4,0.33,0.45,"Myadestes townsendi","Myadestes_townsendi",60,50,"Omnivore",2.564370036,"PASSERIFORMES",1764.44571208211
7610,"Turdus","migratorius",777.040025902957,88.0926972979997,"Partial","short","Yes",77.3,0.12,33.82,"Turdus migratorius","Turdus_migratorius",40,50,"Omnivore",3.146893471,"PASSERIFORMES",88.0926972979997
7550,"Hylocichla","mustelina",5335.69558977525,395.489787649761,"Complete","long","No",47.8,-1.3,4.52,"Hylocichla mustelina","Hylocichla_mustelina",80,60,"Invertebrate",2.335115851,"PASSERIFORMES",395.489787649761
6200,"Phainopepla","nitens",1660.16398642992,5076.12180909895,"Complete","short","Yes",109.9,1.23,1.98,"Phainopepla nitens","Phainopepla_nitens",40,60,"FruiNect",2.327780669,"PASSERIFORMES",5076.12180909895
7490,"Corthylio","calendula",6890.01387425533,1388.06695376423,"Complete","long","Yes",35.9,0.7,12.24,"Corthylio calendula","Regulus_calendula",50,80,"Invertebrate",1.565434368,"PASSERIFORMES",1388.06695376423
6070,"Piranga","ludoviciana",2861.88241752398,626.623907030483,"Complete","short","Yes",100.7,0.55,6.36,"Piranga ludoviciana","Piranga_ludoviciana",40,80,"Invertebrate",2.230321436,"PASSERIFORMES",626.623907030483
5950,"Pheucticus","ludovicianus",5848.67928204902,517.360155629728,"Complete","long","Yes",46.1,-0.25,2.06,"Pheucticus ludovicianus","Pheucticus_ludovicianus",30,50,"Omnivore",2.401811084,"PASSERIFORMES",517.360155629728
5960,"Pheucticus","melanocephalus",5945.5709892556,557.327288689181,"Partial","long","Yes",92.1,0.42,2.96,"Pheucticus melanocephalus","Pheucticus_melanocephalus",50,70,"Invertebrate",2.59560266,"PASSERIFORMES",557.327288689181
5970,"Passerina","caerulea",1155.98908651164,315.514863652545,"Partial","long","Yes",28.1,0.72,3.2,"Passerina caerulea","Passerina_caerulea",100,40,"Omnivore",3.085739873,"PASSERIFORMES",315.514863652545
6040,"Spiza","americana",1311.00781833262,215.611353622005,"Complete","short","Yes",352,-0.6,26.41,"Spiza americana","Spiza_americana",100,100,"PlantSeed",2.079148346,"PASSERIFORMES",215.611353622005
